Area_Name,Year,Group_Name,Sub_Group_Name,Victims_Above_50_Yrs,Victims_Total,Victims_Upto_10_15_Yrs,Victims_Upto_10_Yrs,Victims_Upto_15_18_Yrs,Victims_Upto_18_30_Yrs,Victims_Upto_30_50_Yrs
Gujarat,2001,Murder - Female Victims,2. Female Victims,26,363,9,57,8,132,131
Gujarat,2002,Murder - Female Victims,2. Female Victims,67,594,25,57,11,252,182
Gujarat,2003,Murder - Female Victims,2. Female Victims,33,356,1,29,3,160,130
Gujarat,2004,Murder - Female Victims,2. Female Victims,25,340,2,53,6,157,97
Gujarat,2005,Murder - Female Victims,2. Female Victims,31,346,8,29,2,125,151
Gujarat,2006,Murder - Female Victims,2. Female Victims,29,366,4,34,3,150,146
Gujarat,2007,Murder - Female Victims,2. Female Victims,28,314,5,33,5,117,126
Gujarat,2008,Murder - Female Victims,2. Female Victims,29,340,3,24,2,137,145
Gujarat,2009,Murder - Female Victims,2. Female Victims,34,325,6,34,2,120,129
Gujarat,2010,Murder - Female Victims,2. Female Victims,21,268,4,19,0,131,93
Gujarat,2001,Murder - Male Victims,1. Male Victims,87,917,11,50,18,335,416
Gujarat,2002,Murder - Male Victims,1. Male Victims,189,1733,16,72,31,723,702
Gujarat,2003,Murder - Male Victims,1. Male Victims,82,808,5,32,13,297,379
Gujarat,2004,Murder - Male Victims,1. Male Victims,79,829,5,31,6,315,393
Gujarat,2005,Murder - Male Victims,1. Male Victims,84,757,9,41,10,293,320
Gujarat,2006,Murder - Male Victims,1. Male Victims,67,848,13,46,10,347,365
Gujarat,2007,Murder - Male Victims,1. Male Victims,99,900,10,38,13,289,451
Gujarat,2008,Murder - Male Victims,1. Male Victims,78,805,6,23,8,312,378
Gujarat,2009,Murder - Male Victims,1. Male Victims,56,734,9,24,4,266,375
Gujarat,2010,Murder - Male Victims,1. Male Victims,89,814,14,27,7,312,365
Gujarat,2001,Murder - Total Victims,3. Total,113,1280,20,107,26,467,547
Gujarat,2002,Murder - Total Victims,3. Total,256,2327,41,129,42,975,884
Gujarat,2003,Murder - Total Victims,3. Total,115,1164,6,61,16,457,509
Gujarat,2004,Murder - Total Victims,3. Total,104,1169,7,84,12,472,490
Gujarat,2005,Murder - Total Victims,3. Total,115,1103,17,70,12,418,471
