"STATE/UT","DISTRICT","Year","Rape","Kidnapping and Abduction","Dowry Deaths","Assault on women with intent to outrage her modesty","Insult to modesty of Women","Cruelty by Husband or his Relatives","Importation of Girls"
"GUJARAT","AHMEDABAD COMMR.",2001,39,117,7,54,27,530,0
"GUJARAT","AHMEDABAD RURAL",2001,5,27,0,26,0,84,0
"GUJARAT","AHWA-DANG",2001,1,1,0,2,0,2,0
"GUJARAT","AMRELI",2001,2,34,2,21,0,94,0
"GUJARAT","ANAND",2001,3,28,0,27,3,210,0
"GUJARAT","BHARUCH",2001,4,34,0,19,0,56,0
"GUJARAT","BHAVNAGAR",2001,9,51,2,36,7,129,0
"GUJARAT","DAHOD",2001,5,15,0,17,0,11,0
"GUJARAT","GANDHINAGAR",2001,4,12,3,37,7,116,0
"GUJARAT","HIMATNAGAR",2001,17,29,4,51,0,165,0
"GUJARAT","JAMNAGAR",2001,20,22,2,18,2,163,0
"GUJARAT","JUNAGADH",2001,14,39,11,44,8,384,0
"GUJARAT","KHEDA NORTH",2001,11,30,0,43,0,122,0
"GUJARAT","KUTCH",2001,2,22,2,25,1,176,0
"GUJARAT","MEHSANA",2001,4,49,5,47,1,188,0
"GUJARAT","NARMADA",2001,8,8,0,7,1,9,0
"GUJARAT","NAVSARI",2001,2,5,0,6,0,17,0
"GUJARAT","PALANPUR",2001,18,35,2,50,2,152,0
"GUJARAT","PANCHMAHAL",2001,5,46,0,1,23,43,0
"GUJARAT","PATAN",2001,3,21,0,23,0,78,0
"GUJARAT","PORBANDAR",2001,6,5,0,10,0,64,0
"GUJARAT","RAJKOT COMMR.",2001,5,38,3,19,12,199,0
"GUJARAT","RAJKOT RURAL",2001,20,35,2,45,3,206,0
"GUJARAT","SURAT COMMR.",2001,11,37,20,10,1,132,0
"GUJARAT","SURAT RURAL",2001,26,16,0,11,0,34,0
"GUJARAT","SURENDRANAGAR",2001,11,24,2,45,3,75,0
"GUJARAT","VADODARA COMMR.",2001,3,32,0,11,10,90,0
"GUJARAT","VADODARA RURAL",2001,18,34,0,34,0,81,0
"GUJARAT","VALSAD",2001,9,11,0,10,0,50,0
"GUJARAT","W.RLY",2001,1,0,0,7,0,7,0
"GUJARAT","TOTAL",2001,286,857,67,756,111,3667,0
