"STATE/UT","DISTRICT","Year","Murder","Rape","Kidnapping and Abduction","Foeticide","Abetment of suicide","Exposure and abandonment","Procuration of minor girls","Buying of girls for prostitution","Selling of girls for prostitution","Prohibition of child marriage act","Other Crimes","Total"
"GUJARAT","AHMEDABAD COMMR.",2001,2,1,4,0,0,13,18,0,0,0,39,77
"GUJARAT","AHMEDABAD RURAL",2001,1,0,0,0,0,3,0,0,0,0,0,4
"GUJARAT","AHWA-DANG",2001,0,0,0,0,0,0,0,0,0,0,0,0
"GUJARAT","AMRELI",2001,5,1,0,0,0,4,0,0,0,1,5,16
"GUJARAT","ANAND",2001,0,0,0,0,0,9,0,0,0,1,1,11
"GUJARAT","BHARUCH",2001,0,4,4,0,0,5,0,0,0,1,1,15
"GUJARAT","BHAVNAGAR",2001,6,1,12,0,0,11,0,0,0,1,31,62
"GUJARAT","DAHOD",2001,2,1,0,0,0,0,0,0,0,0,40,43
"GUJARAT","GANDHINAGAR",2001,2,0,6,0,0,4,0,0,0,0,0,12
"GUJARAT","HIMATNAGAR",2001,0,0,0,0,0,0,0,0,0,2,2,4
"GUJARAT","JAMNAGAR",2001,9,2,1,0,0,5,0,0,0,0,0,17
"GUJARAT","JUNAGADH",2001,6,3,0,2,0,11,0,0,0,0,10,32
"GUJARAT","KHEDA NORTH",2001,0,0,0,0,0,6,0,0,0,0,0,6
"GUJARAT","KUTCH",2001,1,0,10,0,0,8,0,0,0,1,7,27
"GUJARAT","MEHSANA",2001,3,0,1,0,0,4,0,0,0,0,7,15
"GUJARAT","NARMADA",2001,0,0,0,0,0,0,0,0,0,0,0,0
"GUJARAT","NAVSARI",2001,0,0,0,0,0,0,0,0,0,0,0,0
"GUJARAT","PALANPUR",2001,2,1,11,0,0,5,0,0,0,0,2,21
"GUJARAT","PANCHMAHAL",2001,1,0,0,0,0,0,0,0,0,0,0,1
"GUJARAT","PATAN",2001,2,1,1,0,0,2,0,0,0,1,1,8
"GUJARAT","PORBANDAR",2001,4,0,0,0,0,3,0,0,0,0,0,7
"GUJARAT","RAJKOT COMMR.",2001,3,1,4,0,0,8,0,0,0,0,2,18
"GUJARAT","RAJKOT RURAL",2001,6,7,9,2,0,5,0,0,0,1,15,45
"GUJARAT","SURAT COMMR.",2001,17,4,3,0,0,1,0,0,0,1,3,29
"GUJARAT","SURAT RURAL",2001,0,0,0,0,0,0,0,0,0,0,0,0
"GUJARAT","SURENDRANAGAR",2001,1,4,14,0,0,1,0,0,0,1,4,25
"GUJARAT","VADODARA COMMR.",2001,2,2,9,0,0,4,0,0,0,0,19,36
"GUJARAT","VADODARA RURAL",2001,3,6,31,0,0,0,0,0,0,0,1,41
"GUJARAT","VALSAD",2001,0,0,0,0,0,0,0,0,0,0,0,0
"GUJARAT","W.RLY",2001,0,0,0,0,0,0,0,0,0,0,0,0
"GUJARAT","TOTAL",2001,78,39,120,4,0,112,18,0,0,11,190,572
